Asset,GARCH_MSE,HAR_RV_MSE,HAR_RK_MSE,GARCH_QLIKE,HAR_RV_QLIKE,HAR_RK_QLIKE,Winner_MSE,Winner_QLIKE
AAPL,1.2767462631417773e-07,1.1276812879066958e-07,1.1679863010439937e-07,-6.367000152059148,-6.624197556130307,-6.126457890412729,HAR-RV,HAR-RV
MSFT,2.6683696199872666e-07,6.991289810088101e-08,6.641629593461602e-08,-6.820434994317128,-6.933989250269612,-6.9767275166786265,HAR-RK,HAR-RK
SPY,6.902993292860362e-08,6.330402729203807e-08,6.331182629792941e-08,-7.469794358327827,-7.715679705003796,-7.714394487273772,HAR-RV,HAR-RV
NVDA,2.160237969585247e-07,1.8307745963813823e-07,1.9721274732438068e-07,-6.649092112927276,-6.7246257738839095,-6.683023556891731,HAR-RV,HAR-RV
GOOGL,4.975760055293664e-07,4.868556332739669e-07,4.813570641288901e-07,-6.540858711090472,-6.542601713300401,-6.589005107701605,HAR-RK,HAR-RK
GLD,1.0276526948841166e-07,1.3982823660255797e-07,1.5365608719200864e-07,-7.281719470374047,-7.207994889122735,-7.184135544768597,GARCH,GARCH
