Asset,GARCH_MSE,HAR_RV_MSE,HAR_RK_MSE,GARCH_QLIKE,HAR_RV_QLIKE,HAR_RK_QLIKE,Winner_MSE,Winner_QLIKE
AAPL,1.658228689528601e-08,6.585493532363295e-09,8.78342268504702e-09,-7.666407816891068,-7.7307874331290645,-7.709173233814807,HAR-RV,HAR-RV
MSFT,7.429549956767991e-08,1.0457043855093067e-07,1.0755426484225875e-07,-7.0543306742424745,-6.749701580079599,-6.816511448882939,GARCH,GARCH
SPY,5.466830808673847e-09,1.2739312165788011e-08,1.3859259775512318e-08,-8.74113288078437,-8.512882319220939,-8.489209355826492,GARCH,GARCH
NVDA,6.285160729486428e-08,1.0552065439049375e-07,9.956575979381209e-08,-7.157821260608938,-7.040067195750718,-7.046953212223808,GARCH,GARCH
GOOGL,5.4092881988527206e-08,6.884398965955903e-09,5.662211251457662e-09,-7.425934174705262,-7.606161747459531,-7.62276942748735,HAR-RK,HAR-RK
GLD,1.2700315086828853e-07,9.666336656589095e-08,9.006274388557522e-08,-7.368988952778624,-7.441829931893183,-7.461061286272863,HAR-RK,HAR-RK
